"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","cluster"
"1",3.23008849557522,0.7,0,1.61643835616438,0.076,2.26760563380282,1.8904593639576,0.9978,3.51,0.56,2.38461538461538,1
"2",3.54867256637168,0.88,0,2.04794520547945,0.098,4.04225352112676,2.93992932862191,0.9968,3.2,0.68,2.93846153846154,2
"3",3.54867256637168,0.76,0.04,1.86301369863014,0.092,2.77464788732394,2.52650176678445,0.997,3.26,0.65,2.93846153846154,2
"4",6.25663716814159,0.28,0.56,1.61643835616438,0.075,3.02816901408451,2.71731448763251,0.998,3.16,0.58,2.93846153846154,3
"5",3.23008849557522,0.7,0,1.61643835616438,0.076,2.26760563380282,1.8904593639576,0.9978,3.51,0.56,2.38461538461538,1
"6",3.23008849557522,0.66,0,1.55479452054795,0.075,2.52112676056338,2.08127208480565,0.9978,3.51,0.56,2.38461538461538,1
"7",3.6283185840708,0.6,0.06,1.43150684931507,0.069,2.77464788732394,2.68551236749117,0.9964,3.3,0.46,2.38461538461538,2
"8",3.15044247787611,0.65,0,1.18493150684932,0.065,2.77464788732394,1.47703180212014,0.9946,3.39,0.47,3.21538461538462,1
"9",3.54867256637168,0.58,0.02,1.67808219178082,0.073,2.01408450704225,1.38162544169611,0.9968,3.36,0.57,2.52307692307692,4
"10",3.30973451327434,0.5,0.36,4.20547945205479,0.071,3.02816901408451,4.0530035335689,0.9978,3.35,0.8,3.90769230769231,2
"11",2.67256637168142,0.58,0.08,1.55479452054795,0.097,2.77464788732394,2.87632508833922,0.9959,3.28,0.54,2.10769230769231,1
"12",3.30973451327434,0.5,0.36,4.20547945205479,0.071,3.02816901408451,4.0530035335689,0.9978,3.35,0.8,3.90769230769231,2
"13",1.79646017699115,0.615,0,1.43150684931507,0.089,2.90140845070423,2.68551236749117,0.9943,3.58,0.52,3.07692307692308,1
"14",3.54867256637168,0.61,0.29,1.43150684931507,0.114,2.01408450704225,1.73144876325088,0.9974,3.26,1.56,1.96923076923077,4
"15",4.42477876106195,0.62,0.18,2.78767123287671,0.176,7.46478873239437,5.42049469964664,0.9986,3.16,0.88,2.10769230769231,2
"16",4.42477876106195,0.62,0.19,2.84931506849315,0.17,7.33802816901408,5.51590106007067,0.9986,3.17,0.93,2.10769230769231,2
"17",4.10619469026549,0.28,0.56,1.55479452054795,0.092,5.30985915492958,4.08480565371025,0.9969,3.3,0.75,3.90769230769231,2
"18",3.78761061946903,0.56,0.28,1.49315068493151,0.368,2.90140845070423,2.59010600706714,0.9968,3.11,1.28,2.24615384615385,4
"19",3.23008849557522,0.59,0.08,3.15753424657534,0.086,1.63380281690141,1.73144876325088,0.9974,3.38,0.5,1.83076923076923,4
"20",3.6283185840708,0.32,0.51,1.55479452054795,0.341,3.02816901408451,2.59010600706714,0.9969,3.04,1.08,2.10769230769231,2
"21",4.42477876106195,0.22,0.48,1.55479452054795,0.077,4.54929577464789,2.71731448763251,0.9968,3.39,0.53,2.38461538461538,2
"22",3.38938053097345,0.39,0.31,1.86301369863014,0.082,3.7887323943662,3.06713780918728,0.9982,3.52,0.65,2.8,2
"23",3.6283185840708,0.43,0.21,1.43150684931507,0.106,2.14084507042254,1.98586572438163,0.9966,3.17,0.91,2.52307692307692,4
"24",4.10619469026549,0.49,0.11,1.86301369863014,0.084,2.01408450704225,2.93992932862191,0.9968,3.17,0.53,2.38461538461538,4
"25",2.83185840707965,0.4,0.14,1.92465753424658,0.085,3.53521126760563,2.08127208480565,0.9968,3.43,0.63,2.8,2
"26",2.35398230088496,0.39,0.16,1.30821917808219,0.08,2.26760563380282,1.54063604240283,0.9955,3.34,0.56,2.24615384615385,1
"27",3.38938053097345,0.41,0.24,1.55479452054795,0.08,1.38028169014085,1.15901060070671,0.9962,3.28,0.59,2.52307692307692,4
"28",3.6283185840708,0.43,0.21,1.43150684931507,0.106,2.14084507042254,1.98586572438163,0.9966,3.17,0.91,2.52307692307692,4
"29",2.99115044247788,0.71,0,1.61643835616438,0.08,2.64788732394366,1.92226148409894,0.9972,3.47,0.55,2.38461538461538,1
"30",3.54867256637168,0.645,0,1.67808219178082,0.082,1.88732394366197,1.31802120141343,0.9964,3.38,0.59,2.93846153846154,1
"31",2.67256637168142,0.675,0.07,1.92465753424658,0.089,3.02816901408451,3.41696113074205,0.9958,3.35,0.54,3.35384615384615,1
"32",2.83185840707965,0.685,0,1.98630136986301,0.105,3.66197183098592,1.98586572438163,0.9966,3.46,0.57,4.04615384615385,1
"33",3.94690265486726,0.655,0.12,1.86301369863014,0.083,2.77464788732394,4.40282685512368,0.9966,3.17,0.66,2.93846153846154,2
"34",2.83185840707965,0.605,0.12,7.04109589041096,0.073,5.94366197183099,3.44876325088339,0.9993,3.45,0.52,2.38461538461538,2
"35",1.47787610619469,0.32,0.25,1.55479452054795,0.103,2.52112676056338,2.39929328621908,0.9957,3.38,0.55,2.10769230769231,1
"36",3.54867256637168,0.645,0,3.83561643835616,0.086,1.50704225352113,1.38162544169611,0.9986,3.4,0.55,2.66153846153846,4
"37",3.54867256637168,0.6,0.14,1.92465753424658,0.086,1.25352112676056,1.28621908127208,0.9975,3.42,0.6,4.32307692307692,1
"38",3.78761061946903,0.38,0.28,1.73972602739726,0.066,2.52112676056338,1.76325088339223,0.9968,3.23,0.73,2.8,4
"39",1.87610619469027,1.13,0.09,1.36986301369863,0.172,1.76056338028169,1.41342756183746,0.994,3.5,0.48,2.93846153846154,1
"40",3.15044247787611,0.45,0.36,4.08219178082192,0.074,2.3943661971831,3.57597173144876,0.9978,3.33,0.83,3.90769230769231,1
"41",3.15044247787611,0.45,0.36,4.08219178082192,0.074,2.3943661971831,3.57597173144876,0.9978,3.33,0.83,3.90769230769231,1
"42",4.34513274336283,0.61,0.3,2.17123287671233,0.088,3.02816901408451,2.27208480565371,0.9976,3.26,0.51,2.24615384615385,4
"43",3.30973451327434,0.49,0.2,2.04794520547945,0.332,1.88732394366197,1.25441696113074,0.9968,3.21,0.9,3.90769230769231,1
"44",3.78761061946903,0.66,0.22,1.8013698630137,0.069,2.01408450704225,1.54063604240283,0.9968,3.3,1.2,3.63076923076923,1
"45",2.75221238938053,0.67,0.02,1.55479452054795,0.05,1.50704225352113,1.15901060070671,0.9962,3.48,0.52,2.52307692307692,1
"46",1,0.52,0.15,1.73972602739726,0.054,1.88732394366197,2.87632508833922,0.9934,3.9,0.56,7.50769230769231,5
"47",3.46902654867257,0.935,0.43,1.8013698630137,0.114,3.66197183098592,4.43462897526502,0.997,3.25,0.73,2.10769230769231,2
"48",4.26548672566372,0.29,0.52,1.43150684931507,0.113,2.3943661971831,1.98586572438163,0.9969,3.25,0.58,2.52307692307692,4
"49",2.43362831858407,0.4,0.23,1.43150684931507,0.066,1.50704225352113,1.19081272084806,0.9958,3.34,0.56,2.10769230769231,4
"50",1.79646017699115,0.31,0.37,1.30821917808219,0.074,2.3943661971831,3.86219081272085,0.9954,3.32,0.58,2.10769230769231,2
"51",4.34513274336283,0.66,0.26,1.49315068493151,0.074,1.38028169014085,1.54063604240283,0.9971,3.15,0.74,2.10769230769231,4
"52",2.5929203539823,0.52,0.04,1.8013698630137,0.069,1.88732394366197,1.28621908127208,0.9956,3.4,0.63,2.38461538461538,1
"53",2.5929203539823,0.5,0.04,1.73972602739726,0.068,1.63380281690141,1.25441696113074,0.9955,3.39,0.64,2.38461538461538,1
"54",4.1858407079646,0.38,0.36,2.29452054794521,0.081,4.67605633802817,4.59363957597173,0.997,3.2,0.56,2.38461538461538,2
"55",3.38938053097345,0.51,0.15,2.17123287671233,0.11,5.05633802816901,3.13074204946996,0.9955,3.17,0.63,3.49230769230769,2
"56",3.46902654867257,0.62,0.04,2.78767123287671,0.084,4.04225352112676,2.24028268551237,0.9978,3.34,0.53,2.52307692307692,2
"57",5.46017699115044,0.42,0.57,2.54109589041096,0.07,1.38028169014085,1.12720848056537,0.9971,3.04,0.63,2.66153846153846,3
"58",3.30973451327434,0.63,0.12,3.58904109589041,0.111,7.2112676056338,4.30742049469965,0.9983,3.26,0.77,2.38461538461538,2
"59",3.54867256637168,0.59,0.18,1.86301369863014,0.076,3.02816901408451,2.52650176678445,0.9975,3.43,0.59,3.21538461538462,2
"60",3.15044247787611,0.39,0.31,1.92465753424658,0.074,2.01408450704225,2.27208480565371,0.9962,3.41,0.54,2.38461538461538,4
"61",4.34513274336283,0.4,0.4,1.8013698630137,0.079,3.28169014084507,2.46289752650177,0.998,3.44,0.64,2.10769230769231,2
"62",3.46902654867257,0.69,0.49,1.55479452054795,0.115,3.40845070422535,4.37102473498233,0.9968,3.21,0.71,2.24615384615385,2
"63",3.30973451327434,0.52,0.16,1.61643835616438,0.085,2.3943661971831,1.92226148409894,0.9968,3.38,0.62,2.52307692307692,1
"64",2.91150442477876,0.735,0.05,1.67808219178082,0.081,2.52112676056338,2.52650176678445,0.9966,3.39,0.57,2.93846153846154,1
"65",3.07079646017699,0.725,0.05,3.31164383561644,0.086,1.38028169014085,1.15901060070671,0.9962,3.41,0.39,4.46153846153846,1
"66",3.07079646017699,0.725,0.05,3.31164383561644,0.086,1.38028169014085,1.15901060070671,0.9962,3.41,0.39,4.46153846153846,1
"67",3.30973451327434,0.52,0.11,1.36986301369863,0.079,2.26760563380282,2.04946996466431,0.9968,3.42,0.58,2.66153846153846,1
"68",2.5929203539823,0.705,0.07,1.43150684931507,0.076,1.63380281690141,1.28621908127208,0.9962,3.44,0.58,4.18461538461538,1
"69",4.74336283185841,0.32,0.57,1.67808219178082,0.074,4.29577464788732,2.87632508833922,0.9969,3.28,0.79,4.18461538461538,2
"70",3.70796460176991,0.705,0.05,1.61643835616438,0.074,1.88732394366197,1.41342756183746,0.9962,3.34,0.95,3.90769230769231,1
"71",3.46902654867257,0.63,0.08,1.61643835616438,0.076,2.77464788732394,1.6678445229682,0.9967,3.32,0.54,2.52307692307692,1
"72",3.46902654867257,0.67,0.23,1.73972602739726,0.088,3.02816901408451,3.86219081272085,0.9962,3.32,0.48,2.52307692307692,2
"73",3.46902654867257,0.69,0.22,1.61643835616438,0.084,3.15492957746479,3.79858657243816,0.9961,3.31,0.48,2.52307692307692,2
"74",3.94690265486726,0.675,0.26,1.73972602739726,0.084,2.26760563380282,2.17667844522968,0.9976,3.31,0.53,2.10769230769231,4
"75",5.06194690265487,0.32,0.54,1.98630136986301,0.094,4.42253521126761,3.44876325088339,0.9984,3.28,0.82,2.66153846153846,2
"76",4.34513274336283,0.41,0.64,1.8013698630137,0.093,2.01408450704225,2.14487632508834,0.9986,3.54,0.66,3.90769230769231,4
"77",4.34513274336283,0.41,0.64,1.8013698630137,0.093,2.01408450704225,2.14487632508834,0.9986,3.54,0.66,3.90769230769231,4
"78",2.75221238938053,0.785,0,1.92465753424658,0.104,2.64788732394366,1.76325088339223,0.9966,3.52,0.55,4.18461538461538,1
"79",2.67256637168142,0.75,0.12,1.67808219178082,0.086,2.3943661971831,3.35335689045936,0.9958,3.38,0.52,3.35384615384615,1
"80",3.94690265486726,0.625,0.2,1.36986301369863,0.08,4.29577464788732,4.59363957597173,0.9972,3.16,1.12,1.96923076923077,2
"81",2.27433628318584,0.45,0.2,1.43150684931507,0.069,1.25352112676056,1.28621908127208,0.9958,3.41,0.56,2.10769230769231,4
"82",3.54867256637168,0.43,0.7,1.61643835616438,0.464,3.66197183098592,2.93992932862191,0.9974,3.13,1.28,2.38461538461538,2
"83",3.23008849557522,0.5,0.47,1.67808219178082,0.086,3.53521126760563,3.13074204946996,0.997,3.36,0.57,1.96923076923077,2
"84",3.15044247787611,0.67,0.26,1.55479452054795,0.401,2.90140845070423,2.43109540636042,0.9969,3.16,1.14,2.38461538461538,2
"85",2.35398230088496,0.3,0.48,1.55479452054795,0.069,3.15492957746479,2.74911660777385,0.9959,3.44,0.78,3.63076923076923,1
