,FA1,FA2,FA3,FA4,FA5
1,736.3623299,364.7435414,791.827659,404.9190729,746.7359852
2,737.3033478,343.5012184,771.7363597,593.0757456,560.904713
3,707.2204182,361.4237776,724.5411863,624.5225268,601.0111804
4,712.0024885,355.7665153,811.0317242,403.6099509,621.5536464
5,319.8947456,301.1020918,982.0722868,449.4287447,644.626879
6,290.4709064,304.9857539,916.5630437,526.4494017,601.1369817
7,708.7368149,386.1038625,704.7176642,366.8958647,704.0140799
8,691.1713622,462.3334762,737.8480784,460.1448251,693.363201
9,783.4012624,362.897621,708.6239174,193.8406814,441.3900017
10,280.5849212,302.8007559,848.7388399,470.9332477,638.4774202
11,530.8774415,662.4258256,711.9733245,347.0910713,623.3730398
12,706.2069643,380.9601194,712.4150105,583.5828392,570.6755938
13,637.5217241,544.0456493,754.8725971,662.768905,497.2055492
14,678.5576275,410.2427234,716.7210708,573.5802925,325.9639461
15,710.2344001,322.3356935,677.4336914,301.3025886,752.8757221
16,548.1471075,646.0360125,801.0006592,475.2361903,678.7037824
17,554.6784058,650.6607017,741.2554562,468.1440379,639.7431248
18,711.6776233,310.2598265,719.9101791,511.6609125,766.1158649
19,694.9870724,560.0071639,719.4165358,392.2622565,511.464447
20,695.9808335,363.9732568,681.7138686,541.5954069,687.1317154
21,687.5518704,442.2631289,750.9029176,537.0365397,537.0047067
22,705.5025481,414.0022465,720.9618664,540.9334941,475.1365945
23,679.6416676,402.5071701,713.1010367,569.5792177,741.9794615
24,677.4397673,539.5703352,758.0398689,466.1869032,219.8874754
25,483.8543176,687.1173543,724.698973,442.2780393,613.0370448
26,559.0700468,645.3890159,738.5444429,355.320737,540.0324706
27,241.3765065,323.6790399,865.21057,611.7624341,723.6736398
28,462.3855264,705.5421379,678.3175425,399.0387798,704.2955357
29,573.201798,615.9114221,752.8100162,654.6024248,502.025188
30,476.9268881,673.332333,704.6966161,376.9616602,623.111316
31,299.03474,301.278627,883.5933671,461.2088189,482.515359
32,295.2691844,315.5322515,933.2544951,461.6285412,597.607074
33,651.9560522,502.764307,766.7929193,638.7372955,426.8332053
34,254.0623264,314.9057133,864.7219938,519.8445578,710.145867
35,691.301219,445.7131107,731.1019396,538.5709996,386.3080666
36,711.5477987,377.8707128,638.8314924,399.8311062,609.334184
37,547.0081829,670.7468695,684.2883952,365.8414651,568.4071503
38,639.960973,614.9172952,733.1503633,471.5863198,597.2054819
39,673.8377732,519.5426408,723.9469403,494.0629051,307.9116042
40,676.0666326,456.6205143,715.1172355,637.2628982,409.3843434
41,276.1054736,319.3389621,880.1501616,463.1821452,609.2588988
42,535.7535513,635.8730968,721.9395501,337.6331486,589.9022507
43,713.1467916,362.3172312,726.9935697,520.4770433,564.2957804
44,717.6163133,350.6787576,688.5187433,547.0926603,614.7463331
45,575.8654676,597.6302483,758.6695542,729.4567942,529.0483283
46,610.5426293,592.0154946,740.426491,564.7808645,626.2047424
47,675.1319019,465.0336657,677.3909411,556.0682831,579.2033138
48,265.9904047,308.0301194,891.7567407,521.9633707,666.7470987
49,645.3788675,455.1296454,761.4099475,484.0519495,655.5519834
50,564.2716459,652.5937516,730.5506641,433.9930949,365.7462441
51,655.4449615,502.8720125,730.301155,611.3838437,510.1135043
52,559.4919434,605.5006,729.0106896,683.4279508,650.9663221
53,666.1244432,402.0093581,709.9280911,643.9378664,614.4886728
54,677.7027876,449.2730978,694.704156,546.8375287,590.508813
55,691.8855257,399.1073857,660.1506042,256.2930144,654.861712
56,688.8095571,401.2298232,686.2785134,380.5862196,699.993782
57,595.6890347,596.6534103,789.7417761,588.656209,670.9919836
58,595.6480938,616.547147,732.5801459,577.217677,594.8725657
59,664.9492114,576.319043,702.8572696,514.9401448,485.2362817
60,469.9030414,666.6302378,691.667976,415.4346539,682.8770683
61,737.1551688,333.7610121,621.9691835,343.1920493,557.6919499
62,665.9879585,510.6655299,702.6589545,520.4055125,392.5849761
63,712.8738094,364.8866537,689.8698137,604.4955289,434.4396169
64,670.0340681,518.3598454,723.1491279,642.4804054,346.2898275
65,470.3589801,679.7562981,674.6357644,379.9733656,701.6391862
66,679.4340269,407.8684488,670.6421354,317.2521365,705.8129925
67,707.9252208,398.0838407,639.157196,473.3435238,640.6579972
68,266.3764389,317.5449487,861.9891565,579.7142128,648.1783534
69,698.3192723,386.6221164,627.6341819,239.5557453,649.0265594
70,678.5301594,455.1469516,714.2423032,592.587215,380.1945507
71,658.2172344,521.7074435,709.9788426,526.9267986,473.7879603
72,523.0610165,655.7362745,765.1529406,380.633372,582.9614442
73,648.1983054,432.2575561,700.8036294,619.7269643,569.7605845
74,672.7864127,526.8034712,698.7489573,562.5035999,373.2096101
75,672.8337588,435.4662911,676.6745892,662.1221153,347.2410942
76,535.3262398,646.7416905,723.3476851,359.4122101,545.620826
77,706.5340541,410.1915637,713.5088746,521.8509561,452.2568414
78,666.1535153,398.334141,679.6232589,703.066072,574.8688636
79,471.6695516,674.2669388,685.0552687,417.0642541,695.7888438
80,656.0986863,531.037464,721.2972355,481.9606281,466.6027583
81,546.6285958,643.8369663,746.0925961,575.2428236,654.9003746
82,276.1262837,313.7261932,851.5025473,494.4557918,574.2968828
83,452.7208633,683.1644514,715.7874687,490.8304562,702.8049227
84,569.8033578,617.3540119,754.9564101,515.0799277,621.1620978
85,533.0342857,648.8338699,650.3112732,311.5416638,560.3775318
86,495.4801008,690.3881016,645.8433063,413.206075,521.8989776
87,667.9748248,384.8607932,656.8779522,585.0155324,602.4949284
88,492.1823233,635.4270554,700.9560037,605.5413174,728.2868506
89,692.5776088,379.941616,619.3221466,624.9634404,426.5974668
90,491.4786211,660.1017136,606.1874151,405.1392305,594.4642752
91,663.9800249,351.4008512,575.3105975,395.4323053,669.4360748
92,655.8652413,364.9681318,667.2881125,748.0471763,572.746173
93,662.0581098,464.1064666,682.8230856,573.4883275,462.0527724
94,637.0050146,521.8425983,723.5898907,535.4018618,517.6538825
95,365.3965883,715.3088372,593.7762124,431.6453075,833.3012316
96,292.7779459,315.5971413,859.0765805,462.8693747,574.5954382
97,481.2747445,648.1333113,684.761667,431.6222824,752.4727399
98,494.5055451,642.0666456,680.1754204,438.0896233,705.7501313
99,606.8146475,621.599301,703.5838147,352.1590354,470.2722069
